experience,qualifications,salary_range,work_type,job_title,role,job_description,skills,responsibilities
5 to 13 Years,BCA,$63K-$94K,Part-Time,Network Technician,Network Support Specialist,"Network Support Specialists provide technical support for computer networks. They troubleshoot issues, maintain network infrastructure, and ensure reliable network performance.",Network troubleshooting IT support Network configuration Technical knowledge Problem-solving,"Provide technical support for network issues, resolving connectivity and configuration problems. Collaborate with end-users to troubleshoot network-related challenges. Document network configurations and issues."
3 to 10 Years,BCA,$61K-$114K,Full-Time,Aerospace Engineer,Avionics Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.",Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,"Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
5 to 8 Years,BA,$56K-$107K,Temporary,IT Administrator,System Administrator,"System Administrators manage and maintain computer systems and networks. They handle software installations, security measures, and troubleshooting to ensure system reliability.",System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery,Manage and maintain computer systems and servers. Install and configure software and hardware. Monitor system performance and security.
1 to 8 Years,MBA,$59K-$95K,Temporary,Interior Designer,Hospitality Interior Designer,"A Hospitality Interior Designer specializes in creating inviting and functional interiors for hotels, restaurants, and other hospitality establishments.","Hospitality interior design Hotel and restaurant design Branding and theme integration FF&E (furniture, fixtures, and equipment) selection Customer experience design","Specialize in designing interiors for hotels, resorts, and hospitality establishments. Create guest-friendly and visually appealing environments. Select furnishings and decor to enhance the guest experience."
0 to 15 Years,MCA,$61K-$97K,Intern,Project Coordinator,Project Manager,"Project Managers plan, execute, and oversee projects, ensuring they are completed on time and within budget, while managing project teams and resources.",Project planning and scheduling Budget management Risk assessment and mitigation Stakeholder communication Agile or Waterfall methodologies,"Assist in project planning, execution, and monitoring. Coordinate project tasks and timelines. Communicate with project stakeholders and team members."
2 to 11 Years,MBA,$63K-$101K,Full-Time,Customer Success Manager,Onboarding Specialist,"An Onboarding Specialist helps new employees integrate into the company. They facilitate orientation, training, and ensure a smooth transition into their roles.",Onboarding process management New employee orientation Training and development HR policies and procedures Employee engagement strategies,"Facilitate the onboarding process for new customers, ensuring a smooth transition. Educate clients on product features and best practices. Provide training and resources for successful adoption."
4 to 8 Years,M.Tech,$64K-$92K,Part-Time,SEO Specialist,SEO Analyst,"SEO Analysts optimize websites for search engines, conduct keyword research, analyze performance metrics, and implement strategies to improve search rankings.","Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization","Conduct keyword research, on-page and off-page SEO optimization, and website audits. Monitor search engine rankings and website traffic. Generate SEO reports and recommendations."
4 to 13 Years,M.Com,$58K-$113K,Full-Time,Financial Analyst,Budget Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.",Budget planning Financial forecasting Excel proficiency Data analysis,"Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities."
0 to 10 Years,BCA,$63K-$128K,Contract,Systems Analyst,Business Systems Analyst,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",Business systems analysis Requirements gathering Process improvement,Focus on improving business processes through technology solutions. Conduct business process modeling and workflow analysis. Facilitate communication between business and IT stakeholders.
1 to 14 Years,BA,$58K-$101K,Contract,Pediatrician,Pediatric Specialist,"Pediatric Specialists are doctors with expertise in specific pediatric subspecialties like cardiology, oncology, or gastroenterology. They provide specialized care and treatment for children with complex or rare medical conditions.","Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment","Specialize in a specific area of pediatric medicine, such as cardiology or neurology. Diagnose and treat complex medical conditions in children. Collaborate with other specialists for comprehensive care."
4 to 9 Years,BBA,$63K-$81K,Full-Time,Marketing Director,Marketing Communications Director,"Marketing Communications Directors manage marketing communication efforts. They oversee messaging, branding, and promotional activities to effectively reach target audiences.",Marketing communication Public relations Content strategy Crisis management Media relations,"Lead marketing communications efforts, including public relations and content marketing. Create marketing collateral and press releases. Manage media relations and crisis communications."
1 to 13 Years,BBA,$61K-$99K,Temporary,Substance Abuse Counselor,Recovery Coach,"A Recovery Coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.",Addiction recovery support Motivational interviewing Relapse prevention strategies,Offer ongoing support and guidance to individuals in recovery. Assist with relapse prevention strategies and coping skills. Foster a supportive and empathetic relationship.
5 to 15 Years,B.Com,$56K-$121K,Full-Time,Occupational Therapist,Mental Health Occupational Therapist,A Mental Health Occupational Therapist assists individuals with mental health conditions in improving their daily functioning and coping skills through therapy and interventions.,Mental health assessment and evaluation Psychotherapy techniques Cognitive-behavioral therapy (CBT) Trauma-informed care Crisis intervention Substance abuse treatment Group therapy Cultural competence Ethical standards and boundaries Active listening skills,"Work with individuals facing mental health issues, helping them develop coping skills and daily routines. Conduct therapeutic activities and interventions. Collaborate with mental health professionals."
1 to 13 Years,B.Tech,$60K-$93K,Intern,Sales Associate,Retail Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
3 to 8 Years,BBA,$56K-$118K,Part-Time,Mechanical Engineer,HVAC Engineer,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.",Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,"Specialize in heating, ventilation, and air conditioning (HVAC) systems design. Calculate HVAC load requirements and design energy-efficient systems. Ensure compliance with HVAC standards."
0 to 12 Years,MCA,$60K-$129K,Intern,Electrical Designer,PCB Designer,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.",PCB design Electronics PCB layout software proficiency Circuit design Quality control,Design printed circuit boards (PCBs) for electronic devices and systems. Create schematics and layouts. Optimize PCBs for performance and manufacturability.
1 to 8 Years,BCA,$56K-$123K,Intern,Art Director,Creative Director,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality.",Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,"Lead and oversee creative teams, including graphic designers and copywriters. Develop and maintain the artistic and creative direction of projects. Ensure brand consistency and visual identity in all creative materials."
2 to 14 Years,BCA,$60K-$94K,Intern,Nurse Manager,Nurse Educator,"Nurse Educators are responsible for teaching and mentoring nursing students and healthcare professionals. They develop and deliver educational programs, assess learning outcomes, and ensure the competence of nursing staff.",Nursing education Curriculum development Clinical instruction Assessment and evaluation Educational technology Communication skills,"Educate and train nursing staff on best practices, new procedures, and medical technologies. Develop and deliver nursing education programs and curricula. Assess and evaluate nursing competencies."
4 to 10 Years,BA,$58K-$125K,Full-Time,Data Scientist,Data Engineer,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts."
4 to 15 Years,B.Com,$56K-$80K,Contract,SEM Specialist,Search Engine Marketer,"Search Engine Marketers optimize online content for search engines. They use SEO strategies to improve website rankings, increase organic traffic, and enhance online visibility.",Search engine marketing PPC advertising SEO strategy Data analysis Digital marketing skills,"Plan and execute search engine marketing (SEM) campaigns, including Google Ads and Bing Ads. Conduct keyword research and ad optimization. Analyze SEM performance metrics."
1 to 15 Years,PhD,$59K-$112K,Temporary,Business Analyst,Healthcare Business Analyst,"Healthcare Business Analysts work in the healthcare industry, analyzing data and processes to improve healthcare delivery. They collaborate with healthcare professionals and IT teams to optimize systems and workflows.",Healthcare industry knowledge Health data analysis HIPAA regulations EMR systems,"Work in the healthcare sector, analyzing healthcare data and processes to improve patient care and operational efficiency. Identify opportunities for process improvement and cost reduction. Collaborate with healthcare professionals and stakeholders."
0 to 14 Years,BA,$56K-$80K,Full-Time,Graphic Designer,UI/UX Designer,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design",Focus on user interface (UI) and user experience (UX) design for websites and applications to enhance user engagement. Conduct user research and usability testing. Collaborate with developers to implement designs.
5 to 11 Years,B.Com,$65K-$106K,Temporary,Financial Advisor,Retirement Planner,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.",Retirement planning Social security Investment products Tax planning Estate planning,"Specialize in retirement planning, helping clients prepare for financial security in retirement. Create retirement income plans and strategies. Address tax and estate planning considerations."
1 to 11 Years,BA,$58K-$103K,Temporary,Psychologist,School Psychologist,"School Psychologists work in educational settings, supporting students emotional and academic development. They provide counseling and assessments to enhance learning outcomes.",School psychology Special education knowledge Assessment and testing Individualized education plans Collaboration skills,"Work in educational settings to support students emotional and psychological well-being. Conduct assessments, provide counseling, and collaborate with educators. Assist in the development of individualized education plans."
5 to 8 Years,M.Com,$63K-$80K,Contract,Administrative Assistant,Data Entry Specialist,"Accurately input and maintain data in databases or spreadsheets, ensuring data integrity and organization.","Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency",Accurately enter and maintain data in databases or spreadsheets. Perform data verification and quality checks. Assist with data analysis and reporting.
1 to 10 Years,B.Tech,$65K-$116K,Intern,QA Analyst,Software QA Tester,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)","Perform manual testing of software applications, identify defects, and report issues. Create and execute test cases and test plans. Collaborate with developers to resolve defects."
2 to 9 Years,BCA,$59K-$114K,Part-Time,Registered Nurse,Charge Nurse,"A Charge Nurse leads and supervises nursing staff, coordinates patient care, and ensures efficient operations within a healthcare unit or department.",Nursing leadership Charge nurse responsibilities Team coordination,Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues.
5 to 12 Years,BA,$56K-$88K,Part-Time,Back-End Developer,API Developer,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications.
2 to 15 Years,MBA,$56K-$112K,Temporary,UX Researcher,UX Strategist,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.",User experience strategy User journey mapping Design thinking,Develop UX strategies and roadmaps based on user research and business goals. Collaborate with design and development teams to implement UX enhancements. Conduct usability assessments of existing products.
2 to 14 Years,MCA,$57K-$102K,Part-Time,Chemical Engineer,Quality Control Engineer,"Monitor and maintain product quality standards, perform inspections, and implement quality control procedures.","Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge",Focus on product quality assurance and testing. Develop quality control procedures and standards. Investigate and resolve quality issues.
5 to 8 Years,B.Com,$56K-$117K,Part-Time,Product Manager,Technical Product Manager,"Technical Product Managers oversee the development and enhancement of technical products. They define product requirements, prioritize features, collaborate with development teams, and ensure the product aligns with the companys strategic goals and market needs.",Product management principles Technical background Agile development methodologies Product roadmap planning Market research and analysis Stakeholder communication Problem-solving skills,"Define product requirements, prioritize features, and collaborate with development teams to deliver technical products. Create product roadmaps and release plans. Gather and incorporate feedback from stakeholders."
0 to 15 Years,BA,$57K-$92K,Part-Time,Structural Engineer,Construction Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.",Construction management Structural design AutoCAD proficiency Project management Site inspection,"Oversee construction projects, including structural aspects, budgeting, and scheduling. Collaborate with architects and contractors. Ensure compliance with building codes and safety standards."
1 to 13 Years,B.Com,$64K-$127K,Intern,Physical Therapist,Orthopedic Physical Therapist,"Provide physical therapy services to patients with orthopedic conditions, rehabilitate injuries, and improve mobility.",Orthopedic assessment and treatment Rehabilitation exercises Patient education,Specialize in treating musculoskeletal injuries and conditions. Conduct evaluations and develop personalized treatment plans. Provide manual therapy and exercise programs.
5 to 12 Years,BCA,$60K-$105K,Full-Time,Account Director,Business Development Director,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals.",Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,Develop and execute business development strategies to acquire new clients and grow accounts. Identify market opportunities and trends. Lead sales pitches and presentations.
0 to 10 Years,BA,$56K-$89K,Temporary,UX Researcher,Usability Analyst,Evaluate and improve the usability of websites and applications through user testing and analysis.,Usability evaluation User interface assessment Usability testing tools and techniques,Focus on usability testing of digital products and websites. Create test plans and scenarios. Gather and analyze usability data to identify areas for improvement.
1 to 11 Years,BBA,$63K-$95K,Temporary,Accountant,Forensic Accountant,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud.",Forensic accounting Fraud detection Legal knowledge Investigative skills,"Investigate financial discrepancies, analyze financial data for fraud, and provide expert testimony in legal cases. Perform forensic audits and fraud detection. Collaborate with law enforcement and legal teams."
0 to 11 Years,BCA,$63K-$127K,Full-Time,Customer Success Manager,Customer Support Specialist,A Customer Support Specialist assists customers with inquiries or issues related to a companys products or services. They provide solutions and maintain customer satisfaction.,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,"Provide responsive and effective customer support, addressing inquiries and resolving issues. Escalate and track customer cases as needed. Document customer interactions and feedback."
1 to 15 Years,BBA,$61K-$124K,Intern,Software Architect,Enterprise Architect,"An Enterprise Architect oversees the overall IT infrastructure, ensuring it supports business processes, and develops strategies to enhance the organizations technology landscape.",Enterprise architecture Business strategy alignment IT governance and compliance,"Focus on aligning software solutions with overall enterprise architecture. Ensure scalability, security, and interoperability. Evaluate and recommend technology stacks and tools."
4 to 11 Years,MCA,$61K-$113K,Intern,Marketing Coordinator,Event Marketing Coordinator,"Event Marketing Coordinators focus on marketing events, including trade shows, exhibitions, and product launches, to maximize attendance and engagement.",Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills,Plan and coordinate marketing events and promotions. Execute event marketing campaigns and activations. Collaborate with vendors and sponsors.
3 to 8 Years,B.Tech,$63K-$83K,Contract,Event Planner,Corporate Event Planner,"Corporate Event Planners organize business-related events such as seminars, conferences, and product launches, ensuring they meet corporate goals and standards.",Corporate event planning Corporate branding Corporate communication Audiovisual equipment Crisis management,"Organize corporate events, conferences, and seminars. Develop event marketing strategies and manage event budgets. Coordinate speakers, sponsors, and attendee registration."
0 to 15 Years,BBA,$56K-$91K,Contract,Public Relations Specialist,Media Relations Specialist,"Media Relations Specialists manage relationships with media outlets, crafting press releases, organizing media coverage, and handling public relations efforts.",Media relations Press releases Media outreach Crisis communication Public relations strategies,Manage relationships with media outlets and journalists. Draft press releases and media pitches. Coordinate interviews and media coverage.
3 to 10 Years,BA,$55K-$112K,Temporary,Dental Hygienist,Dental Public Health Hygienist,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.,Dental public health principles Community outreach and education Dental health program planning Epidemiology knowledge Public health regulations knowledge,"Focus on community oral health, conducting screenings and preventive dental programs. Promote oral health initiatives and awareness. Collaborate with public health agencies."
0 to 13 Years,BA,$60K-$98K,Full-Time,Content Writer,Copywriter,"Copywriters create compelling written content for various mediums, such as advertising, websites, and marketing materials. They craft persuasive and engaging messages that resonate with target audiences.",Copywriting Content creation SEO Marketing strategies Creativity,"Create engaging and persuasive content for marketing materials, websites, blog posts, and social media. Conduct keyword research and SEO optimization. Proofread and edit content for accuracy and clarity."
3 to 15 Years,B.Tech,$62K-$89K,Part-Time,Aerospace Engineer,Aircraft Design Engineer,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.","Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Design and develop aircraft and aerospace systems. Conduct aerodynamic analysis and structural design. Ensure compliance with aviation regulations.
1 to 14 Years,PhD,$57K-$105K,Full-Time,SEM Specialist,Paid Advertising Specialist,Paid Advertising Specialists manage paid advertising campaigns. They use platforms like Google Ads and social media advertising to reach target audiences and achieve marketing goals.,Google Ads management PPC campaign optimization Keyword research Ad copywriting A/B testing Conversion tracking,"Manage paid advertising campaigns on various platforms, including social media and display networks. Create ad creatives and targeting strategies. Monitor ad spend and ROI."
4 to 9 Years,M.Com,$64K-$81K,Contract,Urban Planner,Environmental Planner,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,Environmental regulations Ecosystem analysis Environmental impact assessments Sustainability planning Project management,Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices.
0 to 8 Years,B.Com,$62K-$100K,Contract,Social Media Manager,Community Manager,"Community Managers build and engage online communities around a brand or product. They interact with community members, moderate discussions, and foster a sense of belonging and loyalty among community members.",Community engagement and moderation Online community-building strategies Content curation and creation Crisis management and conflict resolution Analytics and reporting,Build and manage online communities and social media profiles. Engage with followers and respond to comments and messages. Handle reputation management and address customer inquiries.
1 to 8 Years,MCA,$59K-$127K,Temporary,Chemical Engineer,Process Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.",Process optimization Manufacturing processes Lean Six Sigma methodologies Data analysis Statistical process control Quality management Root cause analysis Collaboration Problem-solving Attention to detail Technical knowledge,Design and optimize chemical processes and production systems. Conduct experiments and analyze data. Ensure safety and environmental compliance.
0 to 14 Years,PhD,$59K-$101K,Temporary,Research Analyst,Data Analyst Researcher,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail","Focus on data analysis, data mining, and statistical analysis to extract insights from large datasets. Develop data models and visualizations. Collaborate with data scientists and analysts."
3 to 9 Years,MBA,$64K-$118K,Intern,Landscape Architect,Residential Landscape Designer,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,"Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality."
5 to 12 Years,MBA,$65K-$95K,Full-Time,Dental Hygienist,Periodontal Therapist,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education,Specialize in the treatment of gum diseases and periodontal conditions. Perform deep cleanings and scaling procedures. Monitor and assess periodontal health.
5 to 14 Years,B.Tech,$58K-$93K,Intern,Landscape Designer,Sustainable Landscape Specialist,"Sustainable Landscape Specialists focus on creating environmentally friendly and sustainable landscapes. They incorporate eco-friendly practices, native plants, and water conservation techniques into landscape design and maintenance.",Sustainable landscape design Native plant selection Water conservation Soil health Green building practices LEED certification,"Focus on environmentally friendly and sustainable landscape design practices. Incorporate native plants, rainwater harvesting, and ecological principles. Educate clients on sustainable landscaping benefits."
3 to 8 Years,MCA,$63K-$106K,Temporary,Marketing Director,Digital Marketing Director,"Digital Marketing Directors lead digital marketing efforts. They develop and execute digital strategies, oversee campaigns, and measure performance to achieve marketing goals.",Digital marketing strategy Marketing analytics Team leadership Content marketing SEO and SEM proficiency,"Develop and oversee digital marketing strategies, including SEO, SEM, and social media campaigns. Analyze digital marketing performance metrics. Manage digital marketing budgets."
5 to 10 Years,M.Tech,$56K-$99K,Full-Time,Family Nurse Practitioner,Pediatric Nurse Practitioner,"Pediatric Nurse Practitioners specialize in pediatric care. They provide healthcare to children, including diagnosis, treatment, and preventive care.",Pediatric healthcare Pediatric assessment Pediatric treatment Patient education Pediatric pharmacology,"Specialize in pediatric care, addressing the unique healthcare needs of children. Administer vaccinations and provide well-child checkups. Educate parents on child health and development."
3 to 11 Years,MBA,$64K-$119K,Full-Time,Sales Consultant,Sales Advisor,"Sales Advisors provide expert advice to customers about products or services. They help customers make informed purchase decisions, answer questions, and offer solutions tailored to individual needs.",Sales strategies Customer relationship management Sales techniques Product knowledge Client acquisition Negotiation skills,Provide expert advice and guidance to customers on products or services. Understand customer needs and recommend appropriate solutions. Achieve sales targets and quotas.
2 to 11 Years,B.Com,$60K-$115K,Temporary,Physical Therapist,Geriatric Physical Therapist,"Focus on the physical therapy needs of elderly patients, addressing mobility and age-related conditions.",Geriatric rehabilitation Fall prevention Elderly patient care,"Focus on the elderly population, addressing age-related mobility and pain issues. Create fall prevention programs and improve overall functional independence."
3 to 15 Years,B.Tech,$61K-$119K,Full-Time,Content Writer,Technical Writer,"Technical Writers specialize in creating user-friendly documentation and manuals for technical products and services. They translate complex technical information into accessible, understandable content.",Technical documentation Technical knowledge Writing skills Editing User manuals,"Write technical documentation, user manuals, and instructional guides. Translate complex technical information into user-friendly content. Collaborate with subject matter experts and engineers."
2 to 10 Years,MBA,$63K-$107K,Temporary,Mechanical Designer,HVAC Systems Designer,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem-solving Attention to detail Communication skills,"Specialize in designing heating, ventilation, and air conditioning (HVAC) systems. Calculate load requirements and select HVAC equipment. Ensure energy efficiency and compliance."
4 to 8 Years,MCA,$58K-$90K,Intern,Chemical Analyst,Research Chemist,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,"Conduct research on chemical properties, reactions, and formulations. Develop new chemical compounds and products. Collaborate on research projects and contribute to scientific publications."
1 to 8 Years,BBA,$63K-$95K,Intern,Legal Secretary,Legal Assistant,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.",Legal research Document drafting Communication skills Legal software proficiency Attention to detail,"Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars."
0 to 11 Years,B.Tech,$63K-$89K,Part-Time,Project Coordinator,Administrative Coordinator,"Administrative Coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.",Office administration Communication skills Organizational skills Time management Microsoft Office proficiency,"Provide administrative support to project teams, including scheduling meetings, managing documents, and handling logistics. Prepare project reports and presentations. Track project budgets and expenses."
2 to 12 Years,M.Com,$60K-$125K,Contract,Human Resources Manager,HR Generalist,"HR Generalists handle various HR functions, including recruitment, employee relations, benefits administration, and HR compliance. They serve as a resource for employees and management, ensuring HR policies and practices align with organizational goals and legal requirements.",HR policies and procedures Employee relations Recruitment Communication skills,"Oversee various HR functions, including recruitment, benefits administration, and employee relations. Develop and implement HR policies and procedures. Handle employee inquiries and concerns."
4 to 12 Years,MCA,$62K-$117K,Part-Time,Network Security Specialist,Cybersecurity Analyst,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.","Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning","Focus on cybersecurity, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements."
0 to 14 Years,BBA,$61K-$127K,Temporary,Finance Manager,Financial Planning Manager,"Financial Planning Managers oversee financial planning services. They lead a team of financial planners, develop financial strategies, and ensure clients financial goals are met.",Financial planning Investment strategies Team leadership Wealth management Client advisory skills,"Oversee financial planning and analysis, including budgeting and forecasting. Develop financial strategies to achieve organizational goals. Provide financial guidance to departments."
3 to 13 Years,MCA,$57K-$99K,Part-Time,Java Developer,Java Web Application Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation","Focus on developing Java-based web applications, including frontend and backend components. Create user interfaces and integrate with databases. Ensure web application security and performance."
1 to 12 Years,M.Com,$62K-$102K,Part-Time,Brand Ambassador,Product Demonstrator,"Product Demonstrators showcase products to potential customers. They explain features, answer questions, and help customers make informed purchase decisions.",Product knowledge Demonstrating skills Sales techniques Customer engagement Communication skills,Demonstrate and showcase products at retail locations or events. Highlight product features and benefits to attract potential customers. Answer questions and encourage product trials.
0 to 12 Years,BA,$58K-$115K,Intern,Structural Engineer,Bridge Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,Specialize in the design and maintenance of bridges and transportation structures. Conduct structural inspections and assessments. Develop repair and maintenance plans.
3 to 11 Years,PhD,$59K-$109K,Intern,Sales Representative,Outside Sales Representative,"Outside Sales Representatives meet with potential customers in person to sell products or services. They build relationships, identify sales opportunities, and provide product information and solutions to meet the needs of clients and achieve sales goals.",Sales prospecting and networking Face-to-face sales meetings Territory management Consultative selling Relationship building Sales tracking and reporting,"Meet potential clients in person, attend industry events, and build and maintain relationships to drive sales. Conduct product demonstrations and presentations. Negotiate contracts and pricing."
2 to 10 Years,BCA,$55K-$110K,Full-Time,Event Coordinator,Wedding Coordinator,"Plan and execute weddings, coordinate vendors, manage budgets, and oversee all aspects of the event to create a memorable day.",Wedding planning Vendor coordination Ceremony and reception logistics Wedding etiquette Budget management Timeline planning Attention to detail Client communication Creativity Problem-solving Emotional intelligence Event design,"Assist couples in planning and executing their weddings, from venue selection to coordination on the big day. Manage timelines and resolve any issues that arise during weddings. Provide emotional support to couples."
1 to 8 Years,BCA,$57K-$100K,Contract,Physician Assistant,Emergency Medicine Physician Assistant,"Work in emergency departments, diagnose and treat acute medical conditions, and provide urgent care.",Emergency medical care Triage and assessment Trauma management,"Work in emergency departments, providing urgent medical care to patients. Triage patients, order tests, and stabilize critical conditions. Collaborate with emergency medical teams."
5 to 11 Years,MCA,$65K-$102K,Part-Time,Web Designer,E-commerce Web Designer,"E-commerce Web Designers specialize in designing and optimizing online stores and shopping websites. They focus on user experience, product presentation, and conversion rate optimization to drive online sales and customer engagement.","E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)","Focus on designing user interfaces for e-commerce websites, including product listings, shopping carts, and checkout processes. Enhance the online shopping experience and conversion rates."
3 to 9 Years,BCA,$64K-$116K,Part-Time,Copywriter,Technical Copywriter,"Technical Copywriters create content that explains complex technical concepts in a clear and accessible manner. They often write user manuals, product documentation, and technical guides to assist users and customers.",Technical writing Documentation User manuals Technical specifications Industry-specific terminology Research skills,"Create technical documentation, user manuals, and product guides. Translate complex technical concepts into clear and concise content. Work closely with subject matter experts."
